Sample_Index,Gene,Mean,Std,Median,Max,Min,CV,Y_Encoded,Y_Label
0,ENSG00000130045,-0.0699034987527148,0.0768853400026365,-0.0731075064222047,0.1247720524091813,-0.2713778034032754,-1.100035645298842,2,KRAS
1,ENSG00000177984,-0.1117741316900723,0.0628278635212219,-0.1205777018599465,0.1849338407276591,-0.2527161025963642,-0.5621469300673927,2,KRAS
2,ENSG00000164871,-0.2634949709044227,0.0730781415420085,-0.2641213998222316,0.1652022730567715,-0.4669033892124014,-0.2773522197154733,1,EGFR
3,ENSG00000255537,-0.0469483222404239,0.0593647288915307,-0.0523177930762986,0.2175323461846803,-0.1694918282847302,-1.2647390460071677,3,Triple-Negative
4,ENSG00000279711,0.0121872339707209,0.0525357221706589,0.0150009554738073,0.1577162896778483,-0.1339049100498185,4.307183275877896,1,EGFR
5,ENSG00000211789,0.1211854183569002,0.0477543698075372,0.1189467478068977,0.2474743099031058,-0.0023496929975807,0.3940278473804066,3,Triple-Negative
6,ENSG00000235488,-0.3361159595579412,0.0389066894183912,-0.3342918863774381,-0.2010265052101602,-0.4415307547630351,-0.1157572137952053,1,EGFR
7,ENSG00000122043,0.0296755622245592,0.0544474855082098,0.0258234409551165,0.1947983948245666,-0.1062126900175482,1.8341402832911404,0,ALK
8,ENSG00000279090,0.0156226841488839,0.0584705469671462,0.0140815445627504,0.2007169426320575,-0.1319135795203061,3.740275592488101,1,EGFR
9,ENSG00000259779,-0.1251117131918819,0.0365697837941789,-0.124678047625632,-0.0015406625714641,-0.234129742907628,-0.2923204076197417,0,ALK
10,ENSG00000260042,0.0431799137510001,0.0551805159664086,0.0413952607152487,0.1798195933576757,-0.0923344550467926,1.2776250558067102,1,EGFR
11,ENSG00000256577,-0.1465055241490852,0.0442267210013298,-0.1471898221161375,-0.0310002296263691,-0.274665245898636,-0.3018981041108212,2,KRAS
12,ENSG00000279734,-0.0593040228412037,0.0922403313117958,-0.0647656570067147,0.2794756335353278,-0.2846015494060888,-1.5556429955651034,1,EGFR
13,ENSG00000186834,4.505512910681517,0.957597563887984,4.422289128231633,7.772322969017584,2.244102252238819,0.2125386071431907,3,Triple-Negative
14,ENSG00000250626,-0.1431924911147697,0.0399557202519187,-0.1453873047426332,-0.0358244004943528,-0.242577307727526,-0.2790545124675313,2,KRAS
15,ENSG00000163793,0.0845136363409928,0.0520577449711994,0.0833971070020426,0.2297730212616496,-0.0366270952941588,0.6158957094697564,2,KRAS
16,ENSG00000244588,-0.0849640887378769,0.0335836367782612,-0.0848223434747744,0.0174507798950351,-0.1738896294056114,-0.3953151317046377,2,KRAS
17,ENSG00000172318,-0.1103458744780253,0.0329073876940575,-0.110665622952719,0.0296301595572417,-0.1958561889366256,-0.2982474000386106,1,EGFR
18,ENSG00000186162,-0.2747499536608833,0.0659873713010232,-0.2755093510828225,-0.0812316335424199,-0.4533466840932295,-0.2401811983359096,1,EGFR
19,ENSG00000166947,-0.0487676706068644,0.0546092961634085,-0.0527913483669658,0.15879310491344,-0.1726899620058176,-1.1200144609804277,1,EGFR
20,ENSG00000282021,-0.1055416973951727,0.0569204881899425,-0.107440961142503,0.0531634039674352,-0.2315017548478637,-0.5393686408435067,2,KRAS
21,ENSG00000271860,-0.0538623761008595,0.0465650899000734,-0.0504258955457949,0.0862833045494044,-0.1826465196524981,-0.8646803218647605,3,Triple-Negative
22,ENSG00000273125,0.0159386425813007,0.0395790278761039,0.0143814158526779,0.1499286452504678,-0.0929127629390137,2.481654954291157,3,Triple-Negative
23,ENSG00000126890,-0.1026515005774736,0.0436840556946371,-0.1043241614724325,0.0411924017674732,-0.2152547396783302,-0.4255983734538686,1,EGFR
24,ENSG00000203795,-0.2135490769824766,0.0433767971725348,-0.2146804605212032,-0.0671275053563597,-0.3188774082131316,-0.2031328307000897,1,EGFR
25,ENSG00000204548,-0.1009800906314524,0.0404031554349237,-0.1000362648864306,-0.0158101470414551,-0.2105914409335813,-0.4001497392173088,2,KRAS
26,ENSG00000260456,0.0493380594517413,0.0500819063729777,0.0480155245874821,0.1838599915472381,-0.0602377546321927,1.014870836450095,1,EGFR
27,ENSG00000124469,0.4413294986135142,0.9239357009846298,0.0687448794442207,8.313681696238579,-0.2077506708546921,2.093480651261016,2,KRAS
28,ENSG00000134489,-0.1387269178105845,0.0544907206975525,-0.1497094913697466,0.2067185168082881,-0.2655898483690569,-0.3928195749847806,1,EGFR
29,ENSG00000180176,-0.2475263280874098,0.0655639390307864,-0.2495396462406965,0.4135637244829925,-0.3651236412811621,-0.2648873289992922,2,KRAS
30,ENSG00000250131,-0.0637074822936794,0.1036065292431463,-0.0838000752644612,0.8006225476311895,-0.2005399977775614,-1.6265404143520912,1,EGFR
31,ENSG00000083067,-0.0618790766927206,0.0464330120103052,-0.067436769875092,0.3777962389174344,-0.1370057021761712,-0.7505043632850665,1,EGFR
32,ENSG00000134962,0.5885081329737937,1.706014806078174,0.2045607015041609,18.07198832938077,-0.0641179252018409,2.89883133669586,2,KRAS
33,ENSG00000101210,0.5065340647359364,0.7497248133106738,0.2225376799948659,5.722410648635578,-0.1319135795203061,1.4800781718792986,1,EGFR
34,ENSG00000111358,2.435299019343549,0.4771719800787435,2.368068584410481,6.520018555886238,1.4147101905734636,0.1959389860952298,1,EGFR
35,ENSG00000135736,0.4735706511110977,0.1464734627529572,0.4678836483355909,0.9761336342450642,0.1050764064212454,0.3092893732235608,1,EGFR
36,ENSG00000159792,0.9362670937031008,0.1743699822930122,0.9254976250299036,1.3993928506426725,0.4758103860433791,0.1862375822987997,1,EGFR
37,ENSG00000131374,2.010598769800596,0.321231923242489,1.98280556130934,3.226208883409154,1.1655427497843798,0.1597684880656059,1,EGFR
38,ENSG00000196951,0.1739298744634837,0.0780676747898508,0.1679397977905609,0.4983481083257896,0.0007292486743414,0.4488198869330566,1,EGFR
39,ENSG00000224165,0.0865454534948561,0.0707625071846762,0.0783302160436721,0.352219925547687,-0.0794768872611949,0.8175395579075966,2,KRAS
